"B73_S1","B73_S2","B73_S3","B73_S4","Mo17_S1","Mo17_S2","Mo17_S3","Mo17_S4","H_S1","H_S2","H_S3","H_S4","acs_S1","acs_S2","acs_S3","acs_S4","B73_S34","Mo17_S34","H_S34","acs_S34"
44632200.72,63641366.73,67528684.31,59762182.04,67795631.16,101940685.2,101352777.2,91139559.24,35544462.69,71803690.8,82764527.97,85553695.78,36359863.57,66522360.98,68977050.89,73421598.7,63645433.175,96246168.22,84159111.875,71199324.795
15816090.36,11901900.68,11257672.51,11150350.21,14555195.52,10713805.96,10344848.08,10597325.21,15289365.29,12006392.92,11265789.89,11285710.49,16392088.59,15173817.11,13301426.72,12184728.74,11204011.36,10471086.645,11275750.19,12743077.73
11842310.95,12822354.62,13754904.16,13185891.35,11835308.51,15090191.01,15595578.06,16126303.95,11671717.33,14058563.19,14956234.13,16129828.57,9793188.783,12833426.29,14402669.61,16309265.3,13470397.755,15860941.005,15543031.35,15355967.455
7914018.787,9843215.055,10401438.23,9758815.614,13106780.93,18170681.19,18276382.75,17381571.03,7638433.483,11612450.22,13557774.42,13929863.07,8145448.018,12828219.85,13173058.67,13890682.37,10080126.922,17828976.89,13743818.745,13531870.52
18457917.77,20132112.34,19600844.79,14004052.76,20328216.34,27218651.4,24592581.85,24356949.96,12955831.92,19665490.62,20145607.43,20798661.21,20150841.59,25436725.89,21836649.83,20553586.59,16802448.775,24474765.905,20472134.32,21195118.21
10182650.51,10262572.71,10263806.85,9943605.097,8661223.289,10692299.71,9646882.154,10496390.97,13089096.86,14204827.8,12875840.86,12439009.93,9574330.778,9392081.884,7797273.144,8661824.224,10103705.9735,10071636.562,12657425.395,8229548.684
12506983.54,17236963.09,20331889.24,18939596.95,13482068.41,18953462.82,20992070.79,21873931.11,11806287.05,17433114.19,20738633.19,22520195.16,9722440.951,17198547.95,19187065.28,22290402.43,19635743.095,21433000.95,21629414.175,20738733.855
28900730.06,36058783.8,42279106.61,49028758.65,31283090.63,41288513.58,46623987.87,56120274.62,22538898.46,35798647.9,41562120.91,49537248.47,23011372.86,39636138.02,41989167.65,51797377.74,45653932.63,51372131.245,45549684.69,46893272.695
41269982.84,61212647.85,73824632.02,59490745.56,39450826.54,75031306.6,79307907.28,80058070.9,32737079.62,62230837.56,71272163.85,80302165.83,24468144.6,53266040.32,59956344.92,66196801.13,66657688.79,79682989.09,75787164.84,63076573.025
19964777.5,22129647.87,22885728.39,22429523.93,25214757.01,28493703.04,28051265.06,30424547.83,22567283.65,26344378.62,26786399.53,31495674.58,18541227.89,23256048.11,24323647.6,27634186.17,22657626.16,29237906.445,29141037.055,25978916.885
5036296.333,4992123.263,4771312.393,4915318.073,5058345.046,5132042.169,4710685.409,4742561.088,5280002.26,5358307.998,4921582.725,4953818.65,4342431.655,4287173.587,4334660.126,4279352.867,4843315.233,4726623.2485,4937700.6875,4307006.4965
3075646.955,3085477.933,3108154.546,3022463.994,3135000.886,3153311.682,3139168.405,3252395.205,3158201.105,3060298.274,3052334.531,3138018.436,3149879.837,2999937.142,3110924.582,3025189.268,3065309.27,3195781.805,3095176.4835,3068056.925
23396439.12,18771237.99,17237826.96,17397909.4,24084844.14,20832710.31,20213405.47,22806190.91,25678851.3,21025794.09,20040934.87,20031771.88,22354699.42,19495517.16,17020817.63,16362870.05,17317868.18,21509798.19,20036353.375,16691843.84
7556232.033,7478034.958,7674391.303,7688953.9,8014384.798,8237961.687,8155796.601,8860932.553,8280056.393,8235034.499,8491550.54,8939914.75,7139162.766,7566878.577,7276302.67,7871798.202,7681672.6015,8508364.577,8715732.645,7574050.436
59224731.22,52891213.26,52080589.02,48718547.63,75241526.07,68432237.22,65237768.14,68868900.79,70450282.26,65517921.09,62946163.58,64842826.77,77247778.08,68711106.56,63472131.79,65788571.62,50399568.325,67053334.465,63894495.175,64630351.705
29739739.61,35514835.46,38271794.5,35375576.56,26758476.03,32914997.96,30715030.05,29289446.09,23353962.69,31009531.56,32642392.8,35308153.96,27420987.34,35089728.76,37882237.47,41895226.1,36823685.53,30002238.07,33975273.38,39888731.785
7218611.834,8485479.997,9327247.076,9050842.253,13260333.32,17821357.82,18645780.75,18450293.61,7418855.137,10621837.22,12679653.44,13348215.22,6593625.558,8997494.646,9279397.814,9487967.676,9189044.6645,18548037.18,13013934.33,9383682.745
31274281.65,36109663.9,39550429.33,34607967.67,30725538.87,42939062.65,40579122.44,45865195.2,29192308.33,41708970.77,42113607.42,50203101.96,24275135.55,33600203.3,33230208.45,37720272.23,37079198.5,43222158.82,46158354.69,35475240.34
39112851.31,31341007,27176480.34,19634899.66,108217637.9,81011294.27,54857781.67,44261585.55,59860004.97,58605543.66,45370079.66,35559564.47,91030252.89,59896656.69,37705595.21,30365517.73,23405690,49559683.61,40464822.065,34035556.47
2815892.931,2760346.187,2734452.268,2762524.374,2895816.168,2787976.902,2824492.532,2760181.374,2862085.781,2705345.143,2747557.264,2570124.253,2727064.078,2715764.998,2639087.276,2534023.786,2748488.321,2792336.953,2658840.7585,2586555.531
12778442.89,15571254.16,15814563.38,16334838.71,9956344.117,11825837.28,13273305.37,12482827.93,9807979.363,11695911.58,13886358.61,13515902.3,11217488.57,16250866.51,18120124.86,18492728.5,16074701.045,12878066.65,13701130.455,18306426.68
7553676.393,8404636.588,7203574.585,6060412.048,6713839.921,7462064.368,7366450.903,6689488.312,5794667.147,6583068.307,6860342.453,5951966.315,6818643.462,8641869.208,7168287.688,6296865.783,6631993.3165,7027969.6075,6406154.384,6732576.7355
11866802.89,11722994.22,10901016.11,9961623.651,11694905.88,11988982.16,10685147.59,10280625.15,11196690.87,12316610.92,10818267.78,10830586.68,9338357.28,9456716.735,9831475.018,9180292.3,10431319.8805,10482886.37,10824427.23,9505883.659
14029001.89,14086682.82,14658550.27,13757947.61,15240874.64,16046901.4,15462114.93,15674902.29,15097891.47,16061043.88,15860965.81,16075021.3,12298062.06,13734622.91,13471443.23,13946836.6,14208248.94,15568508.61,15967993.555,13709139.915
1321767.039,1331911.543,1374606.842,1351584.071,1287971.89,1399834.169,1389400.271,1376294.393,1373057.274,1422649.132,1438384.589,1339452.521,1203656.194,1436330.118,1305937.83,1356382.747,1363095.4565,1382847.332,1388918.555,1331160.2885
1807240.687,2025260.752,2067850.517,2301454.792,1239654.452,1161840.353,1218206.865,1395519.246,1515517.598,1556357.812,1631557.284,1892472.669,1736094.398,1875893.043,1880097.606,2016868.992,2184652.6545,1306863.0555,1762014.9765,1948483.299
30595147.48,37291847.58,39482176.54,35608028.37,42069519.36,59146198.72,72140880.4,79845918.28,26347588.38,41390901.91,53304096.21,64703359.08,27294769.82,39959447.86,39480776.27,41863015.82,37545102.455,75993399.34,59003727.645,40671896.045
31757634.91,27425785.04,26921025.15,31952906.62,12952353.05,12741174.97,11638473.93,17117599.24,36755339.94,35176837.79,32695702.48,37071164.66,31451336.72,25472317.31,19832654.59,19621855.55,29436965.885,14378036.585,34883433.57,19727255.07
53432506.52,81297584.76,103024136.8,107806646.9,49833129.26,84534608.12,100253507.1,105835914.5,46933341.48,82633928.62,110216967.4,138833450.6,42140427.44,88418353.3,115884507.8,141984904.1,105415391.85,103044710.8,124525209,128934705.95
41844698.15,63287547.18,101610844.4,112632836.3,33167684.35,57992086.71,93158096.76,107530820.7,30935514.79,59617257.22,117684488.4,151843630.4,22220144.41,69890412.64,99386167.33,125438467.8,107121840.35,100344458.73,134764059.4,112412317.565
14657044.17,18117587.8,21871738.03,25002283.38,8988693.984,11345105.7,12295748.93,13873203.14,12354752.66,15420922.59,18611398.83,25479562.42,12928421.57,17308647.3,20066034.89,27111613.08,23437010.705,13084476.035,22045480.625,23588823.985
6657500.138,7557878.544,9033084.107,9630780.319,5346837.923,6733917.7,8182930.06,8811473.879,5816713.896,7474741.659,8965097.518,10525242.52,5741014.303,7974536.013,9874366.532,11192170,9331932.213,8497201.9695,9745170.019,10533268.266
307710479.9,439969630.2,512013936.9,442446213.4,330813781.5,543530994.3,540556906.9,536337440,255306698.7,441950263.3,499944990.8,508004714.6,306589379.2,582229337.7,642475996.5,699798702.3,477230075.15,538447173.45,503974852.7,671137349.4
38120597.01,51950686.89,57483525.18,55689165.59,34341287.52,48239322.02,51076321.69,61186413.3,33103227.72,49969055.99,64229043,76283482.51,28082512.26,49679554.74,54866926.13,61995694.09,56586345.385,56131367.495,70256262.755,58431310.11
20377306.53,24752726.69,28713219.96,24717284.43,18411584.74,29122872.57,30050109.36,31099722.37,17405326.7,26421737.46,29329358.26,33696114.6,16934344.94,25581551.18,28265888.19,31840676.23,26715252.195,30574915.865,31512736.43,30053282.21
