"","values","ind","section","data"
"154",0.0497029410890729,"S1_HMP","S1","HMP"
"155",0.315763906583001,"S1_HMP","S1","HMP"
"156",-0.93482182823294,"S1_HMP","S1","HMP"
"157",0.0473897607245572,"S1_HMP","S1","HMP"
"158",0.398948242330746,"S1_HMP","S1","HMP"
"159",-0.0522110512277604,"S1_HMP","S1","HMP"
"160",0.0469574752524991,"S1_HMP","S1","HMP"
"161",0.0306150291899916,"S1_HMP","S1","HMP"
"162",-0.458245009908343,"S1_HMP","S1","HMP"
"163",0.0557844271119485,"S1_HMP","S1","HMP"
"164",-0.144047892854342,"S1_HMP","S1","HMP"
"165",0.107591950037534,"S1_HMP","S1","HMP"
"166",0.0427819947896307,"S1_HMP","S1","HMP"
"167",-0.05318341305744,"S1_HMP","S1","HMP"
"168",0.268078220040982,"S1_HMP","S1","HMP"
"169",0.0143017061005075,"S1_HMP","S1","HMP"
"170",-0.15756633591921,"S1_HMP","S1","HMP"
"171",-0.640742089936522,"S1_HMP","S1","HMP"
"172",0.119453278408044,"S1_HMP","S1","HMP"
"173",-0.129424450256687,"S1_HMP","S1","HMP"
"174",0.0291635584751295,"S1_HMP","S1","HMP"
"175",0.0592850712290026,"S1_HMP","S1","HMP"
"176",-0.0251939595668829,"S1_HMP","S1","HMP"
"177",-0.10462035117799,"S1_HMP","S1","HMP"
"178",-0.228299574685398,"S1_HMP","S1","HMP"
"179",-0.0669318139309415,"S1_HMP","S1","HMP"
"180",0.348775550370362,"S1_HMP","S1","HMP"
"181",-0.804350555105625,"S1_HMP","S1","HMP"
"182",-0.585807603205112,"S1_HMP","S1","HMP"
"183",-1.14388392435926,"S1_HMP","S1","HMP"
"184",0.0172020284492328,"S1_HMP","S1","HMP"
"185",-0.3629033011731,"S1_HMP","S1","HMP"
"186",-0.138793592209321,"S1_HMP","S1","HMP"
"187",-0.212049672521626,"S1_HMP","S1","HMP"
"188",0.0268467914970494,"S1_HMP","S1","HMP"
"189",-0.0061212131232182,"S1_HMP","S1","HMP"
"190",-0.0592183185700919,"S1_HMP","S1","HMP"
"191",0.145630601754958,"S1_HMP","S1","HMP"
"192",-0.0908098963446394,"S1_HMP","S1","HMP"
"193",-0.104739457947261,"S1_HMP","S1","HMP"
"194",-0.0683626766251241,"S1_HMP","S1","HMP"
"195",-0.419277341017731,"S1_HMP","S1","HMP"
"196",-0.45382789219462,"S1_HMP","S1","HMP"
"197",-0.0489948365608254,"S1_HMP","S1","HMP"
"198",0.399742947673189,"S1_HMP","S1","HMP"
"199",-0.146614875583716,"S1_HMP","S1","HMP"
"200",0.163969204266245,"S1_HMP","S1","HMP"
