"B73_S1","B73_S2","B73_S3","B73_S4","Mo17_S1","Mo17_S2","Mo17_S3","Mo17_S4","H_S1","H_S2","H_S3","H_S4","acs_S1","acs_S2","acs_S3","acs_S4","B73_S34","Mo17_S34","H_S34","acs_S34","S1_HMP","S2_HMP","S34_HMP","S1_acs_B73","S2_acs_B73","S34_acs_B73","S1_B73_Mo17","S2_B73_Mo17","S34_B73_Mo17","cor_HMP_acs","cor_HMP_B73Mo17"
34297990.54,39922131.37,41740301.31,37540068.7,30122775,38532180.79,38312960.15,37256299.79,29741876.06,38217810.56,39764730.47,38618239.2,31956356.13,40085978.46,40808223.08,43128769.43,39640185.005,37784629.97,39191484.835,41968496.255,-0.115030152323222,-0.0376076147240205,0.017744202650601,-0.102021141621367,0.00590894385973902,0.0823430761601048,0.187269372356491,0.0511249056697046,0.0691642013982738,0.999996526806301,-0.852420864628993
47097696.18,37137752.95,28127473.99,23588660.35,53856845.79,45202541.57,32771170.02,27947183.66,54377436.58,43034458.39,30109772.7,28106928.28,50317358.36,42204214.99,28697473.04,22329676.31,25858067.17,30359176.84,29108350.49,25513574.675,0.107374228300606,0.0638937029177066,0.0504203583566615,0.0953996922993076,0.184500563488197,-0.0193493938028679,-0.193473247605695,-0.283517365796939,-0.23151823288894,0.296302542000465,0.666615058246825
14537392.78,16349432.52,16722158.88,13942678.16,12466900.25,14990810.18,14603062.59,13413522.42,12539113.7,15002384.61,14857029.24,14666428.64,13333220.55,17243161.08,16747026.56,16166611.54,15332418.52,14008292.505,14761728.94,16456819.05,-0.106753401175698,-0.0628245186434772,0.0089578714314725,-0.124743255363539,0.0767837174338703,0.10210021899312,0.221665750810922,0.125162205417855,0.130304170293811,0.847423283261117,-0.758972244742922
20000068.12,23369187.95,22337754.95,19317762.76,17586096.8,19144622.15,18039011.76,15726284.25,17103165.36,19891258.47,19983941.44,18293178.74,16705334.31,23414656.88,21452878.71,18611037.4,20827758.855,16882648.005,19138560.09,20031958.055,-0.135938362531692,-0.095797004765921,0.0215195753123884,-0.259696059389894,0.00280429369231942,-0.0562041618094339,0.185569598832008,0.287668416591493,0.302966403096783,0.52738451580911,0.778056029888269
22380918.33,18498645.98,15802048.93,13504966.01,10779210.25,9269077.499,8386687.012,8178354.665,19694879.79,16203961.73,13696182.33,12714678.03,20293022.31,17149783.1,13427528.07,12214610.24,14653507.47,8282520.8385,13205430.18,12821069.155,0.248371010356875,0.22293767935642,0.203515709173844,-0.141285487285359,-0.109229345451072,-0.192729456110165,1.05401775252775,0.996922008140291,0.823104196914742,0.547721177179159,0.93548281897097
23025615.72,30541406.09,34270415.2,31898252.18,19964277.76,28384339.66,28489628.65,29670885.78,20871020.38,29753083.47,32461861.8,34976400.39,18168461.57,27923978.37,32276943.73,37449269.66,33084333.69,29080257.215,33719131.095,34863106.695,-0.0424964003347411,0.0141410783241667,0.117474308222942,-0.341803472130802,-0.129261984565559,0.0755529112108412,0.205818854348656,0.105671304822911,0.186108194381189,0.984261885773905,-0.0198848460028869
96076801.59,123114738.9,142882107.5,120497129.6,59793051.71,79907507.72,82618872.3,88443508.82,74592435.56,107681340.6,133088702.1,150106384.8,67078385.17,105427628.8,119286386.7,132635539,131689618.55,85531190.56,141597543.45,125960962.85,-0.063240685286853,0.085130453656611,0.382633920910919,-0.518340166122235,-0.22375049181771,-0.0641649278725241,0.684210279466552,0.623600523735966,0.622619091523932,0.935642424585729,-0.764553365957809
357407442.6,572173142.2,741758325.5,674477671.3,323863741,635732296.6,668008888.6,728958084.9,218103667.8,520280012.1,655509558,774909373,269662438.7,618888678.1,786433939,934445218.4,708117998.4,698483486.75,715209465.5,860439578.7,-0.643215153301185,-0.215147328679967,0.0242240895510465,-0.406415094687309,0.113228150475611,0.281084101522774,0.142182720629696,-0.151967603213035,0.0197637777324061,0.992140902424169,-0.555455024152677
59208243.52,76793477.49,96077990.94,83659461.78,49366671.67,73549089.13,83917557,86764876.83,41514230.83,62102057.35,82244238.85,90603971.52,41554416.31,66058606.5,83665215.62,91192862.81,89868726.36,85341216.915,86424105.185,87429039.215,-0.387012952289156,-0.275540569857483,-0.0195789847674725,-0.510796243672062,-0.21723724336462,-0.0397066111995136,0.262260674192582,0.0622763052864442,0.0745764734050108,0.934300342067661,-0.695449624677735
29773922.7,39396045.25,40111426.97,34773288.95,35182522.28,50211151.88,48454059.08,44256519.28,22879024.01,36510538.02,37993932.19,37550753.29,28950134.28,44409236.17,41490400.45,40448582.33,37442357.96,46355289.18,37772342.74,40969491.39,-0.5054471671134,-0.295301683757393,-0.149579470387543,-0.0404792685641724,0.172808944637351,0.129878690231956,-0.240809606693235,-0.349957009034809,-0.308062668476294,0.819130821586721,-0.689705146498879
4939408.764,5686997.852,6111149.334,5968363.099,5706113.986,6889415.615,6827088.817,6404241.016,5058773.678,6450245.408,6441194.683,6347908.29,4796875.744,6109340.196,6343285.966,6494172.529,6039756.2165,6615664.9165,6394551.4865,6418729.2475,-0.0733871936130555,0.0367054018221681,0.0151595605698723,-0.0422432956940651,0.103349319133241,0.0877973880073425,-0.208170201824629,-0.276714354160498,-0.131395844810406,0.996105095727489,-0.152422529194878
53070663.4,149952258.4,318054494,483509361,52104516.76,149632976.9,252810028.4,402665779.4,27879841.65,134001612.5,275324952.4,458501079.6,14855022.23,105459510.7,249397734.1,406598375,400781927.5,327737903.9,366913016,327998054.55,-0.915500017153149,-0.160716162681344,0.0104698390178715,-1.83696381888889,-0.507814042321926,-0.289130196573413,0.0265061428460173,0.00307509153868237,0.290274919742834,0.999044820406203,0.584843148488157
10318117.11,9511834.042,8872301.294,8311234.036,9522396.664,8299980.086,8062771.422,7850720.492,10091191.27,8548215.821,8301437.345,7692800.493,8704653.602,8446690.754,7913583.021,7283797.814,8591767.665,7956745.957,7997118.919,7598690.4175,0.0246471102637316,-0.0591392239860839,-0.049149394436257,-0.245320933503135,-0.171337311071566,-0.177204179770232,0.115783094178403,0.196615668809412,0.110776443732664,-0.999279056215864,-0.548843729187953
2873212.615,2245792.417,1898778.886,1856385.691,3193710.819,2287616.111,1811331.485,1688193.969,2970506.083,2145935.738,1814271.112,1554204.959,2930497.194,2221086.912,2032919.701,1719443.427,1877582.2885,1749762.727,1684238.0355,1876181.564,-0.030256361445281,-0.0789893015864467,-0.106817923267467,0.0284807010515702,-0.0159587355565402,-0.00107668913815696,-0.152568932043944,-0.026620388394303,0.101716836284064,0.763264015539737,-0.986942765342576
7011437.658,7906436.494,9382076.488,8980114.241,6317425.4,7853928.373,9625243.641,11259039.87,7058511.315,8513625.669,10256512.8,11592285.15,5920595.832,7051463.746,8483621.427,9636385.315,9181095.3645,10442141.7555,10924398.975,9060003.371,0.082882122244394,0.111544628645875,0.154990856138388,-0.243967919608512,-0.165104840953936,-0.0191546997641672,0.150373568462292,0.00961316399708372,-0.185679457050838,0.998606746943725,-0.99970222351181
34655596.07,43998055.05,47571974.55,42402492.7,25458081.81,37333426.24,39310711.54,40244062.95,26946442.27,36897754.1,44594131.67,45471151.47,28009728.49,45271521.26,51304343.94,53178283.53,44987233.625,39777387.245,45032641.57,52241313.735,-0.157598482852319,-0.140280885233098,0.0875088700929114,-0.307160333919608,0.0411640360145454,0.215675522620448,0.444964612157914,0.236971833607059,0.177567138116097,0.796153286256405,-0.71741955196175
281689285.9,411892100.2,484681815.8,423949949.1,345266706.2,596704426.7,618905609.7,630999275.9,209949873.3,468869906.3,559623187.6,615538461.8,218820564.6,498795938.7,590876586.1,637412896.4,454315882.45,624952442.8,587580824.7,614144741.25,-0.578319261999411,-0.105089572537636,0.1228056314066,-0.364356363655646,0.276183261895049,0.434882967618168,-0.293606531332831,-0.534750023084167,-0.460050667220322,0.990818681319016,-0.807064014317685
222908738.7,284475275.9,289304975.3,244104218.1,259121386,328583683.9,322485228.7,297524458.8,196618615.2,309117864,302214035.2,303235703.3,250952757.5,341125206.1,324694158.3,348361329.1,266704596.7,310004843.75,302724869.25,336527743.7,-0.29372339344143,0.0121312012303532,0.0701625605504852,0.170962622959998,0.261998089582669,0.335482756827715,-0.217174914281386,-0.207957572267163,-0.217048067230948,0.951377356336854,0.377071804035815
30654100.71,29768778.71,29256684.93,31392782.2,26402492.47,27359831.86,25670584.28,29810598.65,27116057.83,26016990.79,28320335.45,33282231.37,29169080.82,32252161,33101887.33,38268343.82,30324733.565,27740591.465,30801283.41,35685115.575,-0.0732461541900867,-0.134759337542737,0.085313581460602,-0.0716401568111236,0.115595794075545,0.234827475220658,0.215405950856296,0.121740670812439,0.128496421694252,0.601582608978802,-0.183543996098732
