"","B73_S1","Mo17_S1","H_S1","acs_S1","S1_HMP","S1_acs_B73","S1_B73_Mo17","HP","LP","Category","B73_S2","Mo17_S2","H_S2","acs_S2","S2_HMP","S2_acs_B73","S2_B73_Mo17","HP.1","LP.1","Category.1","B73_S34","Mo17_S34","H_S34","acs_S34","S34_HMP","S34_acs_B73","S34_B73_Mo17","HP.2","LP.2","Category.2"
"Zm00001d052001_T011",15736.81231,27414.39226,17347.76213,37032.89163,-0.314651266512338,1.23466386915736,-0.800790157045442,"Mo17","B73","Additive",12204.00415,23458.74524,16241.27941,27074.29005,-0.134752645037557,1.14956893193464,-0.942771273020623,"Mo17","B73","Additive",12583.9888,22955.281865,16928.97597,24547.35902,-0.0699193671904248,0.96397852562496,-0.867236854989243,"Mo17","B73","Additive"
"Zm00001d043789_T001",2873749.513,3378107.245,3058348.549,2445867.312,-0.031531888971677,-0.232588176496982,-0.23328081374659,"Mo17","B73","Additive",3107843.175,3114535.548,3155846.185,2862281.829,0.0205606838439268,-0.118747974476589,-0.00310333314367025,"Mo17","B73","AHP",3012192.992,2876838.4765,3244901.542,2499926.356,0.140144321403647,-0.268928610895172,0.0663299852920475,"B73","Mo17","AHP"
"Zm00001d009711_T001",41951.44308,46410.02405,45738.68223,53200.95647,0.0499974280758689,0.342731744839417,-0.145716006602077,"Mo17","B73","Additive",57903.6359,66807.30512,57337.18272,50271.07724,-0.121045115679139,-0.203925336803178,-0.206351923301529,"Mo17","B73","BLP",48591.15343,85407.1424,71747.71873,61198.53962,0.0987902132871546,0.332803547553796,-0.813663045349401,"Mo17","B73","Additive"
"Zm00001d022600_T001",221299.0371,301841.6029,278292.5522,194321.4869,0.0894034494475383,-0.187551739530034,-0.44779449276579,"Mo17","B73","Additive",195083.5786,361971.5657,319204.8444,244443.0851,0.196662396060293,0.325406251981513,-0.891784029920904,"Mo17","B73","Additive",182004.3698,317688.626,272106.72565,194835.10375,0.123130620108647,0.0982805445379892,-0.803640350142863,"Mo17","B73","Additive"
"Zm00001d026291_T012",15591.35307,10867.7378,15312.3365,9171.545316,0.210930947878617,-0.765509395923766,0.520694471417554,"B73","Mo17","Additive",10345.90927,10252.54062,11235.12968,11096.93122,0.125481003407484,0.101100319561234,0.0130789852250989,"B73","Mo17","AHP",8831.8948885,6165.5785525,5857.397625,6643.785968,-0.356387737499909,-0.410717405095695,0.518486724653728,"B73","Mo17","BLP"
"Zm00001d014037_T004",310661.1766,294700.0984,273903.1311,339664.4321,-0.144130630640516,0.128768195786846,0.0760944166112563,"B73","Mo17","BLP",316189.946,317178.1762,223737.2628,201123.4296,-0.501238704347901,-0.652710338330206,-0.00450201364981212,"Mo17","B73","BLP",290190.6748,295519.0655,199326.99845,256445.83895,-0.55504875291633,-0.178346996967401,-0.0262500497741554,"Mo17","B73","BLP"
"Zm00001d003291_T004",47363.6843,46108.08353,43495.83781,43995.54357,-0.103653326196599,-0.106423912304138,0.0387616071258917,"B73","Mo17","BLP",40587.21844,37393.10037,36727.21283,31958.30407,-0.0862606365919618,-0.344834620481598,0.118253377170915,"B73","Mo17","BLP",40036.349205,37640.764975,34152.739945,33997.621245,-0.185488278373702,-0.235876618116446,0.0890144768014445,"B73","Mo17","BLP"
"Zm00001d021065_T001",50018.67741,32433.61784,49827.76769,54526.43541,0.273390287009345,0.124488933962378,0.624976950776655,"B73","Mo17","Additive",50578.54776,46674.20364,48511.13106,52756.48093,-0.00342324925090653,0.0608227201063791,0.115900206863884,"B73","Mo17","Additive",49237.8177,47067.37158,47460.03009,50792.32964,-0.0209005226998976,0.0448438254413875,0.0650395309230206,"B73","Mo17","Additive"
"Zm00001d052034_T001",32478.10959,36047.71884,29561.45766,19398.90113,-0.21293045456927,-0.743492730106042,-0.150440304255969,"Mo17","B73","BLP",41110.51145,43529.88983,45687.68138,37712.14913,0.110458761289841,-0.124477951629914,-0.0824990484304645,"Mo17","B73","AHP",41237.17054,45458.908715,53916.91328,34849.948675,0.31477115475919,-0.242788815200263,-0.140617704706649,"Mo17","B73","AHP"
"Zm00001d045825_T001",33699.12645,44569.91006,49808.47159,38363.05436,0.34794945607548,0.1870063940094,-0.403358855364469,"Mo17","B73","AHP",43532.063,40029.68115,40278.68796,41685.17238,-0.0528259158114134,-0.0625440903539409,0.121008267363276,"B73","Mo17","Additive",38049.103385,40600.936335,37820.567055,40001.81366,-0.0562765000286042,0.072202954993924,-0.0936505416120009,"Mo17","B73","BLP"
"Zm00001d014194_T001",60996.90271,59624.90885,72503.5775,41612.37875,0.265633280417322,-0.551723225968249,0.0328208319822674,"B73","Mo17","AHP",39085.45025,55704.4092,55229.69812,42511.91195,0.220711512888234,0.121235487673726,-0.511159869290746,"Mo17","B73","Additive",59512.19297,55420.910625,44806.56578,45810.28313,-0.359012330113406,-0.377513801331336,0.102754864736304,"B73","Mo17","BLP"
"Zm00001d036985_T001",97493.20783,105979.0225,92821.23857,90559.79957,-0.13230505696432,-0.106430947337809,-0.120405108221206,"Mo17","B73","BLP",90382.97576,101133.3134,91970.04694,94021.4867,-0.0582311219964979,0.0569394361636549,-0.162135338459367,"Mo17","B73","Additive",73610.746725,81874.192735,84450.885185,76880.118635,0.119409604861676,0.0626941559279305,-0.153492370458332,"Mo17","B73","AHP"
"Zm00001d015504_T004",5416.839312,5512.612947,10500.20796,5013.198183,0.942196800572703,-0.111720026343825,-0.0252850155378046,"Mo17","B73","AHP",3165.988223,6926.463767,6319.232603,5092.293104,0.324544551782959,0.68565957190193,-1.12946309870935,"Mo17","B73","PD-H/HP",5665.867156,6142.766516,5397.9862445,4910.652867,-0.129348840582519,-0.206381933821297,-0.116591771950251,"Mo17","B73","BLP"
"Zm00001d026632_T001",53515.14589,49431.46095,50445.50781,107538.11,-0.0290985712974953,1.00682885447689,0.114517715703981,"B73","Mo17","Additive",49923.47414,40701.7422,51112.24148,53759.6336,0.173756326767532,0.106804971586872,0.294627784817747,"B73","Mo17","AHP",58694.57379,47874.68614,52648.08976,62252.85482,-0.0173382587072017,0.0849128635855852,0.293964105929729,"B73","Mo17","Additive"
"Zm00001d007800_T001",14727.30908,13427.29279,14193.88299,33618.87492,0.0118985682685749,1.19077759405054,0.133325392503422,"B73","Mo17","Additive",14253.65494,14055.94,12380.24728,18036.69292,-0.193250976114621,0.339602936138017,0.020151966279065,"B73","Mo17","BLP",15568.215235,18292.205045,24152.495285,26869.75461,0.512572366738496,0.787379584854736,-0.232625435083598,"Mo17","B73","AHP"
"Zm00001d000345_T001",290815.8172,256253.7841,276403.6062,397977.1231,0.0150520459465284,0.452579764558197,0.182532429168761,"B73","Mo17","Additive",325406.18,321515.6872,301111.6076,308709.1999,-0.103293155617167,-0.0759931728130561,0.0173525200495694,"B73","Mo17","BLP",302129.4734,334652.1462,360247.44495,331416.14435,0.178189504368609,0.133476953571858,-0.147495337632009,"Mo17","B73","AHP"
"Zm00001d051083_T001",22584.7114,20979.74723,33963.18101,25541.52707,0.64081997374219,0.177498304751298,0.106349182316734,"B73","Mo17","AHP",37470.06151,26860.60038,33544.73005,26792.22464,0.0605796012338927,-0.483923968447855,0.480246794156196,"B73","Mo17","Additive",38350.110455,30575.027585,43077.747255,36404.3143,0.32191255471198,-0.0751212976226977,0.326876932584648,"B73","Mo17","AHP"
"Zm00001d025015_T001",54498.28661,53757.40546,60007.9493,69488.34398,0.148782649773298,0.350560126299252,0.0197473634644106,"B73","Mo17","AHP",49404.08707,47470.55884,51158.65989,53547.54244,0.0788593410294437,0.116189967018283,0.0575973633306093,"B73","Mo17","AHP",58786.637285,54968.694625,58553.585455,56017.5444,0.0418952516376424,-0.0696095127367463,0.0968780359446202,"B73","Mo17","Additive"
"Zm00001d012840_T001",34680.92973,47289.27067,35088.49672,55080.46472,-0.224101384631353,0.667398156704489,-0.447370316662562,"Mo17","B73","Additive",41961.00173,35423.19422,34412.86765,52351.29704,-0.169090839221303,0.319176161764284,0.244354809342337,"B73","Mo17","BLP",39134.37037,30357.508195,28828.64286,38639.49075,-0.269341459617715,-0.0183601533804421,0.366382857330854,"B73","Mo17","BLP"
"Zm00001d016474_T001",6108.698296,7114.448331,5345.404591,1,-0.306694472485289,-12.5766492732202,-0.219886902981137,"Mo17","B73","BLP",7863.385228,5126.141776,6526.070001,5831.321993,0.0069374695370836,-0.431327546424572,0.617277153443396,"B73","Mo17","Additive",7106.110531,6667.525581,7136.699407,4426.3057885,0.0514194456836223,-0.68295700679685,0.0919086741304445,"B73","Mo17","AHP"
"Zm00001d018787_T001",36946.66009,34907.67126,46553.85635,33031.88177,0.373825555901054,-0.161584793450271,0.0818998374130035,"B73","Mo17","AHP",36656.04208,33945.56284,33417.4549,38540.16348,-0.0790991185222476,0.0723116713576003,0.110828013558157,"B73","Mo17","BLP",38225.452805,37578.319805,32406.101225,30929.6361,-0.226004189788263,-0.305543731713801,0.0246330286534181,"B73","Mo17","BLP"
"Zm00001d027512_T002",64383.38894,71111.92848,68854.63331,52331.80393,0.0233826490298071,-0.299000526802714,-0.143403063395941,"Mo17","B73","Additive",52597.69852,65885.89796,65067.13143,52344.82773,0.135313518817727,-0.00695268455648944,-0.324970033797124,"Mo17","B73","Additive",48585.51923,61191.65355,54608.0833,49550.975495,-0.00739166411714849,0.0283870726740097,-0.332808497975507,"Mo17","B73","Additive"
"Zm00001d000041_T001",84524.91124,52399.66358,85591.93366,93477.35788,0.322165345434621,0.145240361053369,0.689819046838276,"B73","Mo17","AHP",75484.54037,44836.77624,58917.63339,67455.17302,-0.0301208725163876,-0.16225211798347,0.751498650940897,"B73","Mo17","Additive",71158.4038,36369.450925,62191.636955,76741.86394,0.210082062691964,0.108979657229125,0.968307003569378,"B73","Mo17","Additive"
"Zm00001d009602_T001",158725.7699,168070.8655,205551.5029,132163.3954,0.331106790271447,-0.264213719221718,-0.0825332843403339,"Mo17","B73","AHP",223491.2825,193232.5612,185035.5849,189302.9458,-0.171288901508359,-0.23952169732237,0.209880338677088,"B73","Mo17","BLP",237947.8057,227439.21595,242593.6645,220066.44665,0.0601108954284787,-0.112705954886198,0.0651641196158086,"B73","Mo17","AHP"
"Zm00001d039404_T001",66633.78462,63974.41993,57671.6215,73690.28193,-0.179312035981094,0.145220536107312,0.058758676042808,"B73","Mo17","BLP",75778.28191,51197.92909,92070.57448,56771.2888,0.536253820130873,-0.416622937089256,0.565698974888868,"B73","Mo17","AHP",53017.43087,52503.13398,50427.85759,50291.18472,-0.0652313531351398,-0.0761612217871851,0.0140632197915263,"B73","Mo17","BLP"
"Zm00001d025712_T003",1,3394.909025,5144.416822,1,1.59920973033659,0,-11.7291571990614,"Mo17","B73","AHP",3886.993317,5292.292201,3703.719248,2791.816358,-0.309407121373688,-0.47745058112889,-0.445238091482599,"Mo17","B73","BLP",6027.655425,3647.6428755,2861.6131815,5350.608904,-0.757477472905979,-0.17189386583383,0.724632458096902,"B73","Mo17","BLP"
"Zm00001d031833_T001",43713.47985,51487.21566,42412.00665,41589.82875,-0.166499370358805,-0.0718474851372686,-0.236136024077948,"Mo17","B73","BLP",49364.6851,71904.79796,67096.84447,60497.96778,0.146100275755526,0.293407356667763,-0.542608715774415,"Mo17","B73","Additive",58719.7264,63671.52531,77320.15154,63426.187635,0.337415929542849,0.111233382472179,-0.116803079652063,"Mo17","B73","AHP"
"Zm00001d052747_T001",69181.98723,72635.998,83136.05365,89757.68883,0.229505666548286,0.37563907323193,-0.0702882619077875,"Mo17","B73","AHP",55497.398,67024.05039,55225.7605,57311.49144,-0.149621041182489,0.0464043084011967,-0.272258741789472,"Mo17","B73","BLP",51789.794555,64370.356705,59014.497615,57841.11479,0.0230260812877728,0.159427522620955,-0.3137286280383,"Mo17","B73","Additive"
